cluster,multiplicity,vip_ev,vea_ev,homo_lumo_gap_ev,mean_mag_moment_au,mean_mag_moment_fe
Au6,1,8.287,-1.421,9.873,0.000,0.000
Au5Fe,4,8.714,-1.489,10.004,-0.112,3.561
Au4Fe2,9,7.598,-1.106,8.812,0.107,3.786
Au3Fe3,12,6.348,-1.153,7.448,0.079,3.587
Au2Fe4,15,5.915,-0.723,6.930,0.028,3.486
AuFe5,18,6.417,-0.588,7.043,0.105,3.379
Fe6,21,6.418,-0.807,6.740,0.000,3.333

